year,total_films,animated_films,animated_count_share,total_top20_gross_usd,animated_gross_usd,animated_gross_share
2016,20,7,0.35,14610803599,5135285204,0.35147178382108096
2017,20,3,0.15,16431571695,2377406517,0.14468527789848773
2018,20,4,0.2,16388379388,2813428777,0.17167217760775455
2019,20,6,0.3,18650821699,5859249542,0.314155034912706
2020,20,5,0.25,4855652972,1192533218,0.2455968795292235
2021,20,2,0.1,10592341366,665488976,0.06282737243874434
2022,20,5,0.25,13538079117,2144631372,0.15841474654310073
2023,20,3,0.15,13189672087,2547769825,0.19316400045389545
2024,20,5,0.25,13079342190,5000705574,0.38233616808522386
2025,20,3,0.15,15822738081,4927593305,0.3114248166009315
